!! request processed by HyperLeda Tue Oct 21 01:08:22 2014
!! Number of lines in uploaded file: 1014
                  name                  |      vdis       |      bri25      |      mabs       |
PGC064217                               |                 | 23.487          | -20.75          |
PGC064221                               |  131.92         | 24.756          | -19.705         |
PGC064228                               |  266.87         | 23.731          | -20.831         |
IC4956                                  |  234.88         | 23.429          | -21.226         |
PGC064231                               |                 | 23.786          | -19.059         |
PGC064232                               |  176.89         | 23.894          | -19.992         |
PGC064242                               |  222.9          | 24.178          | -20.367         |
PGC064249                               |  157.4          | 23.217          | -20.174         |
PGC064251                               |                 | 24.186          | -20.801         |
PGC064260                               |  219.79         | 23.861          | -20.054         |
PGC064278                               |  184.25         | 23.764          | -20.373         |
PGC064280                               |                 | 24.14           | -20.482         |
PGC064283                               |                 | 23.577          | -20.446         |
PGC064311                               |  220.24         | 23.952          | -19.832         |
PGC064323                               |  313.4          | 23.515          | -21.591         |
PGC064326                               |                 | 23.677          | -20.345         |
PGC064333                               |                 | 24.512          | -19.324         |
ESO073-027                              |                 | 23.276          | -19.317         |
IC4974                                  |                 | 24.852          | -20.022         |
IC4967                                  |                 | 23.004          | -19.187         |
PGC064509                               |                 | 24.312          | -21.876         |
PGC064718                               |                 | 22.099          | -14.961         |
PGC064985                               |                 | 24.147          | -20.87          |
PGC065156                               |                 | 24.263          | -22.64          |
PGC065165                               |                 | 23.852          | -21.217         |
ESO047-011                              |                 | 24.331          | -20.431         |
PGC065361                               |                 |                 |                 |
PGC065401                               |                 | 24.048          | -22.435         |
ESO187-015                              |                 | 23.521          | -21.044         |
PGC065423                               |                 | 23.706          | -19.902         |
PGC065447                               |                 |                 |                 |
PGC065464                               |                 | 23.917          | -19.416         |
PGC065477                               |                 | 23.953          | -21.057         |
PGC065488                               |  178.36         | 23.847          | -20.542         |
PGC065492                               |                 | 23.597          | -20.902         |
PGC065494                               |  150.8          | 24.055          | -19.147         |
PGC065523                               |                 | 24.144          | -20.024         |
PGC065534                               |  205.07         | 23.845          | -19.98          |
PGC065540                               |                 |                 |                 |
PGC065541                               |  220.09         | 24.074          | -20.745         |
PGC065545                               |  377.4          | 24.03           | -20.901         |
PGC065546                               |                 | 23.641          | -19.963         |
PGC065552                               |                 | 23.494          | -19.796         |
PGC065567                               |  181.55         | 23.586          | -19.982         |
PGC065575                               |  125.31         | 23.651          | -19.25          |
PGC065579                               |  233.4          | 23.525          | -20.645         |
PGC065587                               |                 |                 |                 |
PGC065589                               |  332.74         | 24.256          | -21.41          |
PGC065593                               |  249.17         | 23.463          | -21.664         |
PGC065597                               |  327.04         | 23.752          | -22.42          |
PGC065601                               |  174.5          | 23.746          | -19.572         |
PGC065610                               |  310.17         | 23.549          | -21.698         |
PGC065619                               |  104.57         | 23.639          | -18.94          |
PGC065622                               |                 | 23.821          | -22.009         |
PGC065628                               |                 | 23.777          | -20.554         |
PGC065638                               |                 | 23.898          | -21.985         |
PGC065647                               |  193.24         | 23.71           | -21.19          |
PGC065655                               |                 | 23.389          | -19.741         |
PGC065672                               |                 |                 |                 |
PGC065677                               |                 | 24.077          | -20.13          |
PGC065686                               |                 | 24.119          | -22.432         |
PGC065712                               |                 |                 |                 |
PGC065722                               |                 | 23.502          | -20.28          |
PGC065844                               |                 | 22.679          | -20.328         |
PGC065863                               |                 | 24.262          | -20.286         |
PGC065909                               |                 |                 |                 |
PGC043340                               |  87.3           | 23.333          | -17.37          |
ESO235-050                              |                 | 24.384          | -22.781         |
PGC066100                               |                 | 23.774          | -19.909         |
ESO286-049                              |  213.81         | 23.936          | -20.572         |
PGC066172                               |                 |                 |                 |
PGC066187                               |                 |                 |                 |
PGC066285                               |                 | 23.757          | -21.731         |
ESO286-084                              |                 | 23.491          | -21.68          |
PGC066451                               |                 | 23.567          | -20.561         |
PGC066486                               |                 | 23.77           | -22.859         |
PGC066586                               |                 | 23.464          | -21.144         |
PGC066665                               |                 | 23.531          | -21.805         |
ESO287-016                              |                 | 23.447          | -19.995         |
PGC043379                               |                 | 24.041          | -16.546         |
PGC066879                               |                 | 23.754          | -22.294         |
ESO287-032                              |                 | 22.646          | -19.467         |
IC5109                                  |                 | 23.386          | -21.282         |
PGC067006                               |                 | 23.927          | -22.521         |
ESO011-004                              |                 | 24.919          | -22.559         |
PGC067116                               |                 | 23.926          | -22.248         |
NGC7097A                                |                 | 23.149          | -17.904         |
PGC067298                               |                 | 23.958          | -21.994         |
PGC067329                               |                 | 24.013          | -23.01          |
PGC067371                               |                 | 23.765          | -22.147         |
PGC067381                               |                 | 23.279          | -21.619         |
PGC067399                               |                 | 23.832          | -21.536         |
ESO075-028                              |  205.49         | 23.862          | -20.425         |
PGC067496                               |                 | 24.137          | -21.589         |
PGC067519                               |                 | 23.88           | -21.23          |
PGC067772                               |                 | 24.024          | -22.295         |
PGC067999                               |                 |                 |                 |
ESO146-006A                             |                 | 23.531          | -19.558         |
PGC068084                               |                 | 23.83           | -21.122         |
PGC068119                               |  200.91         | 22.859          | -21.053         |
ESO237-042                              |                 | 23.266          | -20.887         |
PGC068192                               |                 | 23.579          | -20.483         |
